Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "tcam_mini_eth_base.brd" as of: 6/30/24 4:12 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.500,0.675,0
C2,Top,0.500,0.750,0
C3,Top,0.450,0.525,0
C4,Top,0.450,0.600,0
C5,Top,0.900,0.450,0
C6,Top,0.900,0.825,0
C7,Top,0.900,0.750,0
C8,Top,1.725,1.050,0
C9,Top,1.900,1.050,0
C10,Top,1.575,0.900,0
C11,Top,1.175,0.900,180
CON1,Top,1.000,1.250,90
J1,Top,0.450,0.100,0
L1,Top,0.750,0.700,90
R1,Top,0.200,0.250,270
R2,Top,0.700,0.250,270
R3,Top,0.500,0.825,180
R4,Top,0.750,0.500,180
R5,Top,0.750,0.575,180
R6,Top,1.875,0.750,90
U1,Top,0.275,0.725,90
U2,Top,0.900,0.600,180
U3,Top,0.275,0.450,90
U4,Top,1.375,0.925,180
