Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "tcam_mini_eth.brd" as of: 3/23/24 10:31 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.475,0.100,270
C2,Top,0.400,0.100,270
C3,Top,0.325,0.200,180
C4,Top,0.350,0.275,0
C5,Top,0.225,0.275,270
C6,Top,0.150,0.250,270
C7,Top,0.075,0.675,0
C8,Top,0.275,0.650,90
C9,Top,0.200,0.650,90
C10,Top,0.450,0.625,0
C11,Top,0.450,0.325,180
C12,Top,0.650,0.825,90
C13,Top,0.725,0.825,90
C14,Top,0.800,0.825,90
C15,Top,1.000,0.600,0
C16,Top,0.875,0.825,90
C17,Top,1.000,0.535,0
C18,Top,0.650,0.425,180
C19,Top,1.000,0.465,0
C20,Top,0.550,0.650,180
C21,Top,1.000,0.675,0
C22,Top,1.150,0.750,0
C23,Top,1.150,0.500,180
C24,Top,0.500,0.900,90
C25,Top,1.200,1.000,90
C26,Top,0.925,1.000,90
C27,Top,1.200,0.850,90
C28,Top,0.950,0.850,90
C29,Top,0.275,1.375,180
C30,Top,0.250,1.100,270
C31,Top,1.000,1.275,0
C32,Top,1.200,1.275,90
C33,Top,0.325,1.100,270
C34,Top,0.850,0.925,180
C35,Top,0.900,1.250,90
CON1,Bottom,0.625,0.250,270
J1,Top,0.625,1.200,0
L1,Top,0.275,0.100,180
LED1,Top,0.275,1.000,270
LED2,Top,0.100,1.000,270
LED3,Top,0.100,1.250,0
PB1,Top,1.150,0.350,90
Q1,Top,0.400,0.775,0
Q2,Top,1.175,1.150,0
R1,Top,0.525,0.225,270
R2,Top,0.075,0.750,180
R3,Top,0.450,0.225,90
R4,Top,0.075,0.325,180
R5,Top,0.075,0.400,180
R6,Top,0.075,0.475,180
R7,Top,0.075,0.550,180
R8,Top,0.225,0.900,270
R9,Top,0.325,0.900,270
R10,Top,0.150,0.900,270
R11,Top,0.050,0.900,270
R12,Top,0.700,0.925,0
R13,Top,0.425,0.900,90
R14,Top,0.900,0.425,270
R15,Top,0.575,0.525,180
R16,Top,1.000,0.395,180
R17,Top,1.000,0.750,0
R18,Top,0.050,1.100,90
R19,Top,0.150,1.100,90
R20,Top,0.300,0.775,90
R21,Top,0.500,0.775,270
R22,Top,0.225,0.775,90
R23,Top,1.075,1.150,270
R24,Top,1.125,1.250,180
R25,Top,0.975,1.175,0
R26,Top,0.975,1.100,0
R27,Top,0.810,0.200,270
U1,Top,0.250,0.475,180
U2,Top,0.775,0.600,270
U3,Top,0.950,0.200,270
U4,Top,0.675,0.175,180
U5,Top,1.075,1.000,90
U6,Top,1.075,0.850,90
U7,Top,0.275,1.250,180
U8,Top,0.975,1.400,0
XTAL1,Top,0.450,0.475,270
XTAL2,Top,1.150,0.625,90
