Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "tcam_poe.brd" as of: 8/4/22 3:52 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,2.825,1.975,90
C2,Top,2.825,1.825,90
C3,Top,2.300,0.900,270
C4,Top,2.400,0.900,270
C5,Top,2.500,0.900,270
C6,Top,2.600,0.900,270
C7,Top,2.800,0.875,90
C8,Top,1.975,1.200,90
C9,Top,1.525,1.200,90
C10,Top,1.350,0.625,180
C11,Top,1.350,0.550,180
C12,Top,2.050,2.750,90
C13,Top,2.050,1.950,0
C14,Top,2.050,1.650,180
C15,Top,1.325,2.125,0
C16,Top,1.675,2.000,90
C17,Top,1.750,2.000,90
C18,Top,1.900,1.550,0
C19,Top,1.900,1.625,0
C20,Top,1.625,1.600,270
C21,Top,1.550,1.600,270
C22,Top,0.800,0.800,90
C23,Top,0.725,0.800,90
C24,Top,0.725,0.600,0
C25,Top,0.725,0.675,0
C26,Top,1.025,0.700,0
C27,Top,1.075,1.025,270
C28,Top,0.750,2.750,270
C29,Top,0.750,3.150,270
C30,Top,1.050,3.150,270
C31,Top,0.750,2.950,270
C32,Top,1.050,2.950,270
C33,Top,1.050,2.750,270
C34,Top,0.400,1.250,270
C35,Top,0.325,1.250,270
C36,Top,0.600,1.250,270
C37,Top,1.400,3.275,270
C38,Top,1.200,2.800,90
C39,Top,1.575,2.500,180
C40,Top,1.800,2.750,270
C41,Top,1.050,3.350,270
CON2,Top,0.500,0.100,0
CON9,Bottom,2.450,1.100,0
CON10,Bottom,2.450,1.200,0
CON11,Bottom,2.450,1.300,0
CON12,Bottom,2.450,1.400,0
CON13,Bottom,0.575,0.175,0
CON14,Bottom,0.425,0.175,0
CON15,Bottom,0.650,0.525,0
CON16,Bottom,0.950,0.775,0
CON17,Bottom,0.775,1.100,0
CON18,Bottom,1.700,2.575,0
CON19,Bottom,1.000,3.250,0
CON20,Bottom,1.225,2.700,0
CON21,Bottom,0.400,2.100,0
CON22,Bottom,0.525,1.100,0
CON23,Bottom,0.400,1.300,0
CON24,Bottom,1.150,2.150,0
CON25,Bottom,2.450,3.350,0
CON26,Bottom,0.950,0.600,0
CON27,Bottom,2.375,0.200,0
CON28,Bottom,2.300,0.200,0
CON29,Bottom,2.225,0.200,0
CON30,Bottom,2.150,0.200,0
D1,Top,2.175,1.100,270
D2,Top,2.175,1.400,270
D3,Top,1.200,0.450,0
D4,Top,0.900,0.450,180
D5,Top,0.850,0.100,180
L1,Top,1.900,1.475,180
L2,Top,0.950,1.050,90
M1,Top,0.625,1.750,90
PB1,Top,1.200,0.100,0
Q1,Top,0.650,0.975,270
Q2,Top,1.075,2.250,180
Q3,Top,0.900,3.350,270
R1,Top,2.800,0.375,0
R2,Top,2.300,0.750,270
R3,Top,2.400,0.750,270
R4,Top,2.500,0.750,270
R5,Top,2.600,0.750,270
R6,Top,2.750,1.550,90
R7,Top,1.325,2.200,180
R8,Top,1.450,1.675,180
R9,Top,0.700,2.275,90
R10,Top,2.050,2.050,0
R11,Top,1.900,1.400,0
R12,Top,1.475,1.800,180
R13,Top,1.475,1.875,180
R14,Top,1.300,1.250,90
R15,Top,1.400,1.250,270
R16,Top,1.300,1.125,90
R17,Top,1.400,1.125,90
R18,Top,1.350,0.850,0
R19,Top,1.350,0.775,0
R20,Top,1.350,0.700,0
R21,Top,0.325,0.425,90
R22,Top,0.675,0.425,90
R23,Top,0.625,0.650,90
R24,Top,1.145,0.925,90
R25,Top,1.145,0.775,90
R26,Top,0.525,1.250,270
R27,Top,1.325,2.275,180
R28,Top,1.200,2.250,270
R29,Top,0.500,1.025,0
R30,Top,0.925,2.250,0
R31,Top,1.075,0.275,90
R32,Top,1.600,0.300,180
R33,Top,0.900,0.275,270
R34,Top,0.800,0.275,270
R35,Top,0.750,3.350,90
R36,Top,1.150,3.350,270
R37,Top,1.725,2.425,0
R38,Top,1.725,2.500,0
R39,Top,0.350,0.900,90
S1,Top,1.500,2.850,0
SG1,Top,2.725,0.725,180
SW1,Top,1.600,0.075,180
T1,Top,1.750,0.900,270
U$1,Top,2.625,3.350,0
U$2,Top,0.150,3.200,0
U$3,Top,0.150,0.300,0
U1,Top,1.750,1.225,0
U2,Top,1.750,1.800,180
U3,Top,0.500,0.550,90
U4,Top,0.500,0.800,90
U5,Top,1.025,0.850,180
U6,Top,0.900,2.750,270
U7,Top,0.900,3.150,270
U8,Top,0.900,2.950,270
U9,Top,1.550,3.275,270
XTAL1,Top,2.050,1.800,270
